Name,Proj.,Own,Optimal,Team,Pos,Floor,Median,Ceiling,Salary
Michael Chavis,0,0,0.01,CWS,1B/2B,0,0,0.07,2000
Royce Lewis,0,0,0.01,MIN,3B,0,0,0.07,5600
Bubba Thompson,0,0,0.01,CIN,OF,0,0,0.07,2000
Andrew Velazquez,0,0,0.01,ATL,2B/3B,0,0,0.07,2000
Ryan Vilade,0,0,0.01,DET,OF,0,0,0.07,2000
Conner Capel,0,0,0.01,CIN,OF,0,0,0.07,2200
Pavin Smith,0,0,0.01,ARI,OF,0,0,0.06,3200
Sandro Fabian,0,0,0.01,TEX,OF,0,0,0.07,2000
Alex Lange,0,0,0.01,DET,RP,0,0,0.07,4000
Logan Allen,0,0,0.01,ARI,RP,0,0,0.07,6000
Hans Crouse,0,0,0.01,LAA,RP,0,0,0.07,4000
Chris Rodriguez,0,0,0.01,ARI,RP,0,0,0.07,4000
Griffin Canning,0,0,0.01,LAA,RP,0,0,0.07,7300
Shane Bieber,0,0,0.01,CLE,RP,0,0,0.07,10000
Alex Faedo,0,0,0.01,DET,RP,0,0,0.07,7500
Adam Cimber,0,0,0.01,LAA,RP,0,0,0.07,4000
Alex Young,0,0,0.01,CIN,RP,0,0,0.07,4000
Justin Anderson,0,0,0.01,CWS,RP,0,0,0.06,4000
Wes Parsons,0,0,0.01,CLE,RP,0,0,0.07,4000
Trey Wingenter,0,0,0.01,DET,RP,0,0,0.07,4000
Brett Kennedy,0,0,0.01,CIN,RP,0,0,0.07,7600
Touki Toussaint,0,0,0.01,CWS,RP,0,0,0.06,8400
Josh Rogers,0,0,0.01,COL,RP,0,0,0.07,5500
Andrew Vasquez,0,0,0.01,DET,RP,0,0,0.07,4000
Jeff Brigham,0,0,0.01,MIN,RP,0,0,0.06,4000
Myles Straw,0,0,0.01,CLE,OF,0,0,0.06,2000
Pedro Avila,0,0,0.01,CLE,RP,0,0,0.07,8600
Brock Burke,0,0,0.01,TEX,RP,0,0,0.07,4000
Ian Gibaut,0,0,0.01,CIN,RP,0,0,0.07,4000
Huascar Ynoa,0,0,0.01,ATL,RP,0,0,0.07,7900
Jose Quijada,0,0,0.01,LAA,RP,0,0,0.06,4000
Jose Suarez,0,0,0.01,LAA,RP,0,0,0.07,6600
Jimmy Herget,0,0,0.01,ATL,RP,0,0,0.06,4000
Sam Hentges,0,0,0.01,CLE,RP,0,0,0.07,8600
Justin Lawrence,0,0,0.01,COL,RP,0,0,0.07,4000
Josh Sborz,0,0,0.01,TEX,RP,0,0,0.06,4000
Merrill Kelly,0,0,0.01,ARI,RP,0,0,0.07,8200
Geoff Hartlieb,0,0,0.01,COL,RP,0,0,0.07,4000
Jesse Scholtens,0,0,0.01,CWS,RP,0,0,0.07,8400
Nabil Crismatt,0,0,0.01,TEX,RP,0,0,0.07,4000
Jimmy Lambert,0,0,0.01,CWS,RP,0,0,0.07,4000
Zac Gallen,0,0,0.01,ARI,RP,0,0,0.07,8800
Dylan Lee,0,0,0.01,ATL,RP,0,0,0.07,4000
Trevor Stephan,0,0,0.01,CLE,RP,0,0,0.07,8700
Angel Perdomo,0,0,0.01,ATL,RP,0,0,0.07,4000
Jared Walsh,0,0,0.01,CWS,1B,0,0,0.07,3200
Kevin Ginkel,0,15.87,0.01,ARI,RP,0,0,0.07,4000
Ben Bowden,0,0,0.01,ATL,RP,0,0,0.07,4000
Jose Cisnero,0,0,0.01,LAA,RP,0,0,0.07,4000
Casey Mize,0,0,0.01,DET,RP,0,0,0.07,7400
Alex De Goti,0,0,0.01,TEX,2B/SS,0,0,0.07,2000
Chuckie Robinson,0,0,0.01,CWS,C,0,0,0.07,2000
Sebastian Rivero,0,0,0.01,ATL,C,0,0,0.07,2000
Kyle Garlick,0,0,0.01,ARI,OF,0,0,0.07,2000
Jameson Hannah,0,0,0.01,COL,OF,0,0,0.07,2000
Elehuris Montero,0,0,0.01,COL,1B,0,0,0.07,2700
Jordyn Adams,0,0,0.01,LAA,OF,0,0,0.06,2000
Jack Lopez,0,0,0.01,LAA,2B,0,0,0.07,2000
Travis MacGregor,0,0,0.01,LAA,RP,0,0,0.06,4000
Julio Pablo Martinez,0,0,0.01,ATL,OF,0,0,0.07,2000
Zach Plesac,0,0,0.01,LAA,RP,0,0,0.06,7300
Emmanuel Clase,0,0,0.01,CLE,RP,0,0,0.07,4000
Patrick Sandoval,0,0,0.01,LAA,RP,0,0,0.07,7400
James Karinchak,0,0,0.01,CLE,RP,0,0,0.07,4000
Jorge Alcala,0,0,0.01,MIN,RP,0,0,0.07,4000
Blake Taylor,0,0,0.01,TEX,RP,0,0,0.07,4000
Jhoan Duran,0,0,0.01,MIN,RP,0,0,0.07,4000
Matt Foster,0,0,0.01,CWS,RP,0,0,0.07,4000
Deivi Garcia,0,0,0.01,CWS,RP,0,0,0.07,4000
Tejay Antone,0,0,0.01,CIN,RP,0,0,0.07,7600
Mark Payton,0,0,0.01,CWS,OF,0,0,0.06,2000
Chadwick Tromp,0,0,0.01,ATL,C,0,0,0.07,2800
Nick Lodolo,0,0,0.01,CIN,RP,0,0,0.07,8800
Steven Wilson,0,26.74,0.01,CWS,RP,0,0,0.07,8400
Tarik Skubal,0,0,0.01,DET,RP,0,0,0.07,10100
Nick Mears,0,0,0.01,COL,RP,0,0,0.06,4000
Joe Barlow,0,0,0.01,CWS,RP,0,0,0.07,4000
Sam Huff,0,0,0.01,TEX,C,0,0,0.07,2000
Braden Shewmake,0,0,0.01,CWS,2B/3B,0,0,0.07,2600
Cristian Santana,0,0,0.01,DET,SS,0,0,0.07,2000
Darren McCaughan,0,0,0.01,CLE,RP,0,0,0.07,4000
Joe Ryan,0,0,0.01,MIN,RP,0,0,0.07,9800
Ryan Thompson,0,26.97,0.01,ARI,RP,0,0,0.07,4000
Griffin Jax,0,0,0.01,MIN,RP,0,0,0.07,8100
Josh Green,0,0,0.01,ARI,RP,0,0,0.07,4000
Daniel Bard,0,0,0.01,COL,RP,0,0,0.07,4000
Tommy Doyle,0,0,0.01,ATL,RP,0,0,0.07,4000
Alan Trejo,0,0,0.01,COL,2B/3B,0,0,0.07,2300
Yunior Severino,0,0,0.01,MIN,2B,0,0,0.07,2000
Josh Jung,0,0,0.01,TEX,3B,0,0,0.07,4000
Yolbert Sanchez,0,0,0.01,ATL,SS,0,0,0.06,2000
Konnor Pilkington,0,0,0.01,ARI,RP,0,0,0.06,6000
Niko Decolati,0,0,0.01,COL,OF,0,0,0.07,2000
Dominic Fletcher,0,0,0.01,CWS,OF,0,0,0.07,2200
Luis Frias,0,0,0.01,ARI,RP,0,0,0.07,4000
Tommy Henry,0,0,0.01,ARI,RP,0,0,0.07,6000
Bryce Jarvis,0,0,0.01,ARI,RP,0,0,0.06,4000
Blake Walston,0,0,0.01,ARI,RP,0,0,0.07,6000
Aaron Bracho,0,0,0.01,CLE,SS,0,0,0.07,2000
Eli Morgan,0,0,0.01,CLE,RP,0,0,0.07,8600
Kyle Nelson,0,0,0.01,ARI,RP,0,0,0.06,4000
Nick Sandlin,0,0,0.01,CLE,RP,0,0,0.07,8600
Dillon Dingler,0,0,0.01,DET,C,0,0,0.07,2000
Spencer Torkelson,0,0,0.01,DET,1B,0,0,0.07,4100
Joey Cantillo,0,0,0.01,CLE,RP,0,0,0.07,4000
Zach DeLoach,0,0,0.01,CWS,OF,0,0,0.07,2000
Juan Then,0,0,0.01,CWS,RP,0,0,0.07,4000
Brandon Williamson,0,0,0.01,CIN,RP,0,0,0.07,7600
Simeon Woods Richardson,0,0,0.01,MIN,RP,0,0.01,0.07,7400
Jared Shuster,0,0,0.01,CWS,RP,0,0,0.07,7800
Reid Detmers,0,0,0.01,LAA,RP,0,0,0.07,8000
Austin Martin,0,0,0.01,MIN,2B/OF,0,0.01,0.07,2800
Antoine Kelly,0,0,0.01,TEX,RP,0,0,0.07,4000
Garrett Crochet,0,0,0.01,CWS,RP,0,0,0.07,10500
Humberto Castellanos,0,0,0.01,ARI,RP,0,0,0.07,6000
Michael Harris,0,0,0.01,ATL,OF,0,0,0.07,4500
Karl Kauffmann,0,0,0.01,COL,RP,0,0,0.07,5500
Willie MacIver,0,0,0.01,COL,C,0,0,0.07,2000
Justin Topa,0,0,0.01,MIN,RP,0,0,0.07,4000
Rece Hinds,0,0,0.01,CIN,3B/SS,0,0,0.07,2000
Kyren Paris,0,0,0.01,LAA,2B,0,0,0.06,2000
Cole Winn,0,0,0.01,TEX,RP,0,0,0.06,6800
Luis Garcia,0,0,0.01,LAA,RP,0,0,0.06,7800
Spencer Strider,0,0,0.01,ATL,RP,0,0,0.07,9200
Kristian Robinson,0,0,0.01,ARI,OF,0,0,0.07,2000
Justin Foscue,0,0,0.01,TEX,2B,0,0,0.07,2000
Zach Remillard,0,0,0.01,CWS,2B/SS,0,0,0.07,2500
Greg Jones,0,0,0.01,COL,OF,0,0,0.07,2400
Jason Foley,0,8.88,0.01,DET,RP,0,0,0.07,4000
Victor Vodnik,0,8.88,0.01,COL,RP,0,0,0.07,4000
Jordan Balazovic,0,0,0.01,MIN,RP,0,0,0.07,7500
Matt Canterino,0,0,0.01,MIN,RP,0,0,0.07,7500
Jack Kochanowicz,0,0,0.01,LAA,RP,0,0,0.07,4000
Slade Cecconi,0,0,0.01,ARI,RP,0,0,0.07,6000
Tyler Callihan,0,0,0.01,CIN,2B/3B,0,0,0.07,2000
Lyon Richardson,0,0,0.01,CIN,RP,0,0,0.07,7600
Austin Hendrick,0,0,0.01,CIN,OF,0,0,0.06,2000
Jose Soriano,0,0,0.01,LAA,RP,0,0,0.07,7500
Yerry Rodriguez,0,0,0.01,TEX,RP,0,0,0.07,4000
Francisco Morales,0,0,0.01,ARI,RP,0,0,0.07,4000
Kenny Rosenberg,0,0,0.01,LAA,RP,0,0,0.07,7300
Roansy Contreras,0,0,0.01,LAA,RP,0,0,0.06,6800
Will Vest,0,0,0.01,DET,RP,0,0,0.07,4000
Lucas Gilbreath,0,0,0.01,COL,RP,0,0,0.07,4000
Yosver Zulueta,0,0,0.01,CIN,RP,0,0,0.07,4000
Bailey Ober,0,0,0.01,MIN,RP,0,0,0.06,9200
Peyton Burdick,0,0,0.01,CIN,OF,0,0,0.07,2000
Hobie Harris,0,0,0.01,MIN,RP,0,0,0.07,4000
Jorge Juan,0,0,0.01,ATL,RP,0,0,0.07,4000
Steven Jennings,0,0,0.01,TEX,RP,0,0,0.07,4000
Emmanuel Rodriguez,0,0,0.01,MIN,OF,0,0,0.07,2000
Victor Acosta,0,0,0.01,CIN,SS,0,0,0.07,2000
Connor Phillips,0,0,0.01,CIN,RP,0,0,0.07,7600
Raymond Kerr,0,0,0.01,ATL,RP,0,0,0.07,8200
Jose Marte,0,0,0.01,LAA,RP,0,0,0.07,4000
Prelander Berroa,0,0,0.01,CWS,RP,0,0,0.07,8400
Peyton Battenfield,0,0,0.01,COL,RP,0,0,0.07,5500
Cody Bradford,0,0,0.01,TEX,RP,0,0,0.07,7900
Dustin Harris,0,0,0.01,TEX,1B/3B,0,0,0.07,2000
Evan Carter,0,0,0.01,TEX,OF,0,0,0.07,4300
Grant Anderson,0,0,0.01,TEX,RP,0,0,0.07,4000
Mason Englert,0,0,0.01,DET,RP,0,0,0.06,7600
Owen White,0,0,0.01,TEX,RP,0,0,0.07,4000
Ronny Henriquez,0,0,0.01,MIN,RP,0,0,0.07,4000
Zak Kent,0,0,0.01,CLE,RP,0,0.01,0.07,4000
Zach Logue,0,0,0.01,ATL,RP,0,0,0.06,7800
Alerick Soularie,0,0,0.01,MIN,2B/OF,0,0,0.07,2000
Brent Headrick,0,0,0.01,MIN,RP,0,0,0.06,6600
Casey Legumina,0,0,0.01,CIN,RP,0,0,0.06,4000
Cole Sands,0,0,0.01,MIN,RP,0,0,0.07,7500
Edouard Julien,0,0,0.01,MIN,2B,0,0,0.07,3100
Jair Camargo,0,0,0.01,MIN,C,0,0,0.07,2000
Louie Varland,0,0,0.01,MIN,RP,0,0,0.07,8100
Misael Urbina,0,0,0.01,MIN,OF,0,0,0.07,2000
Will Holland,0,0,0.01,MIN,SS,0,0,0.07,2000
Alan Rangel,0,0,0.01,LAA,RP,0,0,0.07,4000
Brooks Wilson,0,0,0.01,ATL,RP,0,0,0.06,4000
Bryce Elder,0,0,0.01,ATL,RP,0,0,0.07,8000
Darius Vines,0,0,0.01,ATL,RP,0,0,0.07,7200
Gabriel Rodriguez,0,0,0.01,CLE,SS,0,0,0.06,2000
Trey Riley,0,0,0.01,ATL,RP,0,0,0.07,4000
Bryan Ramos,0,0,0.01,CWS,3B,0,0,0.06,2800
Sammy Peralta,0,0,0.01,CWS,RP,0,0,0.07,4000
Tanner Banks,0,8.81,0.01,CWS,RP,0,0,0.07,8400
Jose Salas,0,0,0.01,MIN,SS,0,0,0.07,2000
Sean Guenther,0,0,0.01,DET,RP,0,0,0.07,4000
Trevor Hauver,0,0,0.01,TEX,2B/OF,0,0,0.06,2000
Peter Strzelecki,0,0,0.01,CLE,RP,0,0,0.07,4000
Aaron Hernandez,0,0,0.01,LAA,RP,0,0,0.07,4000
Adrian Placencia,0,0,0.01,LAA,2B/SS,0,0,0.07,2000
Andrew Wantz,0,0,0.01,LAA,RP,0,0,0.07,4000
Arol Vera,0,0,0.01,LAA,SS,0,0,0.07,2000
Michael Stefanic,0,0,0.01,LAA,2B,0,0,0.07,2400
A.J. Vukovich,0,0,0.01,ARI,3B,0,0,0.07,2000
Brandon Pfaadt,0,0,0.01,ARI,RP,0,0,0.07,8000
Drey Jameson,0,0,0.01,ARI,RP,0,0,0.07,6000
Jorge Barrosa,0,0,0.01,ARI,OF,0,0,0.07,2000
Justin Martinez,0,0,0.01,ARI,RP,0,0,0.07,4000
Ryne Nelson,0,0,0.01,ARI,RP,0,0,0.07,6000
Tyler Holton,0,0,0.01,DET,RP,0,0,0.07,7300
Wilderd Patino,0,0,0.01,ARI,OF,0,0,0.07,2000
Brenan Hanifee,0,0,0.01,DET,RP,0,0,0.07,4000
Brandon Hughes,0,0,0.01,ARI,RP,0,0,0.07,4000
Nicholas Padilla,0,0,0.01,CWS,RP,0,0,0.07,4000
Ryan Jensen,0,0,0.01,MIN,RP,0,0,0.07,4000
Alexis Diaz,0,0,0.01,CIN,RP,0,0,0.07,4000
Allan Cerda,0,0,0.01,CIN,OF,0,0,0.07,2000
Christian Roa,0,0,0.01,CIN,RP,0,0,0.07,4000
Daniel Vellojin,0,0,0.01,CIN,C,0,0,0.07,2000
Ivan Johnson,0,0,0.01,CIN,2B/SS,0,0,0.07,2000
Jacob Heatherly,0,0,0.01,CIN,RP,0,0,0.07,4000
Noah Davis,0,0,0.01,COL,RP,0,0,0.07,5500
TJ Hopkins,0,0,0.01,DET,OF,0,0,0.07,2000
Alexfri Planez,0,0,0.01,CLE,OF,0,0,0.07,2000
Cade Smith,0,0,0.01,CLE,RP,0,0,0.07,4000
Hunter Gaddis,0,0,0.01,CLE,RP,0,0,0.07,8600
Jose Tena,0,0,0.01,CLE,3B,0,0,0.07,2000
Lenny Torres,0,0,0.01,CLE,RP,0,0,0.07,4000
Nic Enright,0,0,0.01,CLE,RP,0,0,0.07,4000
Petey Halpin,0,0,0.01,CLE,OF,0,0,0.07,2000
Tanner Burns,0,0,0.01,CLE,RP,0,0,0.07,4000
Tim Herrin,0,0,0.01,CLE,RP,0,0,0.06,4000
Will Brennan,0,0,0.01,CLE,OF,0,0,0.07,3300
Xzavion Curry,0,0,0.01,CLE,RP,0,0,0.07,8100
Yordys Valdes,0,0,0.01,CLE,SS,0,0,0.07,2000
Adael Amador,0,0,0.01,COL,2B,0,0,0.07,2500
Blair Calvo,0,0,0.01,DET,RP,0,0,0.07,4000
Drew Romo,0,0,0.01,COL,C,0,0,0.07,2000
Gavin Hollowell,0,0,0.01,COL,RP,0,0,0.07,4000
Grant Lavigne,0,0,0.01,COL,1B,0,0,0.07,2000
Jake Bird,0,0,0.01,COL,RP,0,0,0.06,4000
Juan Brito,0,0,0.01,CLE,2B/SS,0,0,0.06,2000
Julio Carreras,0,0,0.01,COL,3B/SS,0,0,0.07,2000
Sean Bouchard,0,0,0.01,COL,OF,0,0,0.07,3400
Warming Bernabel,0,0,0.01,COL,3B,0,0,0.07,2000
Zac Veen,0,0,0.01,COL,OF,0,0,0.06,2000
Beau Brieske,0,0,0.01,DET,RP,0,0,0.06,7200
Brendan White,0,0,0.01,DET,RP,0,0,0.07,4000
Daniel Cabrera,0,0,0.01,DET,OF,0,0,0.07,2000
Gage Workman,0,0,0.01,DET,3B/SS,0,0,0.07,2000
Kerry Carpenter,0,0,0.01,DET,OF,0,0,0.07,4000
Roberto Campos,0,0,0.01,DET,OF,0,0,0.07,2000
Trei Cruz,0,0,0.01,DET,SS,0,0,0.06,2000
Eddys Leonard,0,0,0.01,DET,SS,0,0,0.06,2000
Adam Oller,0,0,0.01,CLE,RP,0,0,0.07,8600
Allan Winans,0,0,0.01,ATL,RP,0,0,0.06,8900
Aaron Sabato,0,0,0.01,MIN,1B,0,0,0.07,2000
Josh Winder,0,0,0.01,MIN,RP,0,0,0.07,4000
Alejo Lopez,0,0,0.01,ATL,2B/SS,0,0,0.07,2800
Jeff Criswell,0,0,0.01,COL,RP,0,0,0.07,4000
Reese Olson,0,0,0.01,DET,RP,0,0,0.07,7400
Denzer Guzman,0,0,0.01,LAA,SS,0,0,0.07,2000
Edgar Quero,0,0,0.01,CWS,C,0,0,0.07,2000
Adrian Sampson,0,0,0.01,TEX,RP,0,0,0.06,6900
Ariel Almonte,0,0,0.01,CIN,OF,0,0,0.06,2000
Daniel Duarte,0,0,0.01,MIN,RP,0,0,0.06,4000
Graham Ashcraft,0,0,0.01,CIN,RP,0,0,0.07,6700
Jose Barrero,0,0,0.01,TEX,SS,0,0,0.07,2000
Bryan Lavastida,0,0,0.01,CLE,C,0,0,0.07,2000
Adrian Del Castillo,0,0,0.01,ARI,C,0,0,0.07,2000
Colson Montgomery,0,0,0.01,CWS,SS,0,0,0.06,2000
Cal Conley,0,0,0.01,ATL,SS,0,0,0.07,2000
Matt McLain,0,0,0.01,CIN,SS,0,0,0.07,5300
Benny Montgomery,0,0,0.01,COL,OF,0,0,0.07,2000
Ky Bush,0,0,0.01,CWS,RP,0,0,0.06,4000
Edwin Arroyo,0,0,0.01,CIN,SS,0,0,0.07,2000
Chase Petty,0,0,0.01,CIN,RP,0,0,0.07,7600
AJ Smith-Shawver,0,0,0.01,ATL,RP,0,0,0.07,7700
Dylan Dodd,0,0,0.01,ATL,RP,0,0.01,0.07,7700
Spencer Schwellenbach,0,0,0.01,ATL,RP,0,0,0.07,7000
Jordan Lawlar,0,0,0.01,ARI,SS,0,0,0.07,2000
Jaden Hill,0,0,0.01,COL,RP,0,0,0.06,4000
Jackson Jobe,0,0,0.01,DET,RP,0,0,0.07,4000
Ty Madden,0,0,0.01,DET,RP,0,0,0.07,4000
Aaron Zavala,0,0,0.01,TEX,OF,0,0,0.07,2000
Jack Leiter,0,0,0.01,TEX,RP,0,0,0.07,6400
Christian Encarnacion-Strand,0,0,0.01,CIN,1B,0,0,0.07,3600
Chase Silseth,0,0,0.01,LAA,RP,0,0,0.07,6900
Ben Lively,0,0,0.01,CLE,RP,0,0,0.07,8700
Fernando Cruz,0,26.16,0.01,CIN,RP,0,0,0.07,4000
Diego Castillo,0,0,0.01,MIN,2B/3B,0,0,0.07,2000
Oscar Colas,0,0,0.01,CWS,OF,0,0,0.07,2100
Tanner Bibee,0,0,0.01,CLE,RP,0,0,0.07,9400
Ben Joyce,0,0,0.01,LAA,RP,0,0,0.07,4000
Julio Rodriguez,0,0,0.01,DET,C,0,0,0.07,2000
Logan Allen,0,0,0.01,CLE,RP,0,0,0.06,7300
Jairo Iriarte,0,0,0.01,CWS,RP,0,0,0.07,8400
Devin Sweet,0,0,0.01,DET,RP,0,0,0.07,4000
Anthony Molina,0,0,0.01,COL,RP,0,0,0.07,4000
Kyle Manzardo,0,0,0.01,CLE,1B,0,0,0.07,2600
Jose Corniell,0,0,0.01,TEX,RP,0,0,0.07,4000
Juan Mejia,0,0,0.01,COL,RP,0,0,0.07,5500
Marc Church,0,0,0.01,TEX,RP,0,0,0.07,4000
Kody Funderburk,0,0,0.01,MIN,RP,0,0,0.07,4000
Daysbel Hernandez,0,0,0.01,ATL,RP,0,0,0.07,4000
Cristian Mena,0,0,0.01,ARI,RP,0,0,0.07,4000
Duke Ellis,0,0,0.01,CWS,OF,0,0,0.07,2000
Jonathan Cannon,0,0,0.01,CWS,RP,0,0,0.07,6900
Josimar Cousin,0,0,0.01,CWS,RP,0,0,0.07,8400
Carson Coleman,0,0,0.01,TEX,RP,0,0,0.06,4000
Drew Thorpe,0,0,0.01,CWS,RP,0,0,0.07,7500
Caleb Boushley,0,0,0.01,MIN,RP,0,0,0.07,7500
Kelvin Caceres,0,0,0.01,LAA,RP,0,0,0.07,4000
Victor Mederos,0,0,0.01,LAA,RP,0,0,0.07,4000
Andrew Saalfrank,0,0,0.01,ARI,RP,0,0,0.06,4000
Deyvison De Los Santos,0,0,0.01,ARI,3B,0,0,0.07,2000
Easton Lucas,0,0,0.01,DET,RP,0,0,0.07,4000
Joe Jacques,0,0,0.01,ARI,RP,0,0,0.07,4000
Carson Spiers,0,0,0.01,CIN,RP,0,0,0.07,6900
Jacob Hurtubise,0,0,0.01,CIN,OF,0,0,0.07,2000
Jay Allen II,0,0,0.01,CIN,OF,0,0,0.06,2000
Nicholas Northcut,0,0,0.01,CIN,3B,0,0,0.06,2000
Johnathan Rodriguez,0,0,0.01,CLE,OF,0,0,0.07,2800
Angel Chivilli,0,0,0.01,COL,RP,0,0,0.07,4000
Coco Montes,0,0,0.01,COL,2B,0,0,0.07,2000
Connor Kaiser,0,0,0.01,COL,SS,0,0,0.07,2000
Evan Justice,0,0,0.01,COL,RP,0,0,0.07,4000
Jordan Beck,0,0,0.01,COL,OF,0,0,0.07,2000
Yanquiel Fernandez,0,0,0.01,COL,OF,0,0,0.07,2000
Jace Jung,0,0,0.01,DET,2B/3B,0,0,0.06,2000
Sawyer Gipson-Long,0,0,0.01,DET,RP,0,0,0.07,7600
Jordan Leasure,0,0,0.01,CWS,RP,0,0,0.07,4000
Nick Nastrini,0,0,0.01,CWS,RP,0,0,0.06,7300
Wilmer Flores,0,0,0.01,DET,RP,0,0,0.07,4000
Hurston Waldrep,0,0,0.01,ATL,RP,0,0,0.07,7800
